file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_B_13\SmallSquare.java,chapter_10.task_B_13.SmallSquare,"setXYCircle/2[double,double]",false,27,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,9,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_B_13\SmallSquare.java,chapter_10.task_B_13.SmallSquare,setY/1[int],false,44,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_B_13\SmallSquare.java,chapter_10.task_B_13.SmallSquare,"SmallSquare/2[int,int]",true,9,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_B_13\SmallSquare.java,chapter_10.task_B_13.SmallSquare,SmallSquare/1[chapter_10.task_B_13.SmallSquare],true,14,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\simpleBD\SimpleJDBCRunner.java,onlyTests.DB.simpleBD.SimpleJDBCRunner,main/1[java.lang.String[]],false,12,3,2,0,2,8,14,57,0,7,1,14,0,0,1,3,4,0,6,4,10,2,4,0,0,0,26,9,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\semafors\Runner.java,onlyTests.threads.semafors.Runner$Anonymous1,(initializer 1),false,10,1,5,0,5,1,1,7,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\dbHelper\PreparedJDBCRunner.java,onlyTests.DB.dbHelper.PreparedJDBCRunner,main/1[java.lang.String[]],false,7,2,5,0,5,3,4,24,0,3,1,4,0,0,1,0,1,0,0,0,5,0,2,1,0,0,19,9,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\Exceptions\MainTest.java,onlyTests.Exceptions.MainTest$Anonymous3,(initializer 2),false,41,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\wait_notify\PaymentRunner.java,onlyTests.threads.wait_notify.PaymentRunner$Anonymous1,run/0,false,7,1,4,0,4,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_11\task_A_4_bad\Operator.java,chapter_11.task_A_4_bad.Operator,Operator/1[chapter_11.task_A_4_bad.WaitQueue],true,7,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_11\task_A_4_bad\Operator.java,chapter_11.task_A_4_bad.Operator,run/0,false,12,2,3,0,3,4,9,21,0,1,0,9,0,0,1,0,2,0,4,2,1,2,2,0,0,0,12,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\Exceptions\MainTest.java,onlyTests.Exceptions.MainTest$Anonymous1,(initializer 1),false,9,1,5,0,5,1,1,6,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,2,0,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\Exceptions\MainTest.java,onlyTests.Exceptions.MainTest$Anonymous2,"compare/2[onlyTests.Exceptions.Student,onlyTests.Exceptions.Student]",false,24,1,1,0,1,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
