file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\bariers\Auction.java,onlyTests.threads.bariers.Auction,class,1,3,2,1,4,1,0,2,0,0.5,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,3,0,1,2,0,0,1,0,1,29,3,0,0,0,0,0,1,3,0,3,0,2,0,0,22,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\Priority\PriorThread.java,onlyTests.threads.Priority.PriorThread,class,0,1,1,0,4,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,16,0,1,0,1,0,1,3,1,1,1,2,0,0,0,10,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\semafors\Runner.java,onlyTests.threads.semafors.Runner,class,3,3,0,3,2,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,2,3,0,3,1,1,0,0,7,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_5\task_17\Cinema.java,chapter_5.task_17.Cinema,class,1,2,1,1,8,1,0,4,0,0.42857143,0.5714286,1.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,42,3,1,0,0,1,3,0,6,3,3,1,0,1,0,16,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_B_13\BigSquare.java,chapter_10.task_B_13.BigSquare,class,3,5,2,3,18,1,0,8,12,0.6296297,0.13333334,0.13333334,9,0,6,3,0,0,6,0,0,0,3,0,0,3,0,0,0,0,17,46,4,2,0,0,8,0,20,9,26,6,3,0,0,0,25,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_11\task_A_4\Client.java,chapter_11.task_A_4.Client,class,2,4,2,2,11,2,0,12,0,0.45,0.5,0.5,4,0,2,1,1,0,4,0,0,0,5,0,0,5,0,0,0,0,3,50,2,1,2,1,1,3,5,9,5,7,3,0,0,0,33,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\Priority\PriorityRunner.java,onlyTests.threads.Priority.PriorityRunner,class,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,3,0,3,0,0,0,0,9,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\networkProgramms\smallClientServer1\SmallServerSocket1.java,onlyTests.networkProgramms.smallClientServer1.SmallServerSocket1,class,0,0,0,0,5,1,0,9,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,2,2,0,2,1,8,1,5,3,0,0,0,21,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\atomic\AtomicDemo.java,onlyTests.threads.atomic.AtomicDemo,class,2,2,0,2,2,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,10,0,1,0,0,0,0,3,3,0,3,1,0,0,0,19,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\dbHelper\ConnectorDB.java,onlyTests.DB.dbHelper.ConnectorDB,class,0,1,1,0,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,4,0,4,0,4,0,0,0,0,15,1,0
