file,class,method,variable,usage
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\semafors\Resour?eException.java,onlyTests.threads.semafors.Resour—,"eException/2[java.lang.String,java.lang.Throwable]",cause,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\semafors\Resour?eException.java,onlyTests.threads.semafors.Resour—,"eException/2[java.lang.String,java.lang.Throwable]",message,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\semafors\Resour?eException.java,onlyTests.threads.semafors.Resour—,eException/1[java.lang.Throwable],cause,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\demons\SimpleThread.java,onlyTests.threads.demons.SimpleThread,run/0,e,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\SynchroRun.java,onlyTests.threads.synchron.SynchroRun,main/1[java.lang.String[]],args,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\SynchroRun.java,onlyTests.threads.synchron.SynchroRun,main/1[java.lang.String[]],s,4
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\SynchroRun.java,onlyTests.threads.synchron.SynchroRun,main/1[java.lang.String[]],e,3
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\SynchroRun.java,onlyTests.threads.synchron.SynchroRun,main/1[java.lang.String[]],t1,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\SynchroRun.java,onlyTests.threads.synchron.SynchroRun,main/1[java.lang.String[]],t2,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_6\task_5\Model.java,chapter_6.task_5.Model,call/1[java.lang.String],str,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_6\task_5\Model.java,chapter_6.task_5.Model,Model/1[java.lang.String],model,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_6\task_5\Model.java,chapter_6.task_5.Model,setModel/1[java.lang.String],model,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\bariers\Bid.java,onlyTests.threads.bariers.Bid,run/0,e,3
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\bariers\Bid.java,onlyTests.threads.bariers.Bid,run/0,delta,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\bariers\Bid.java,onlyTests.threads.bariers.Bid,"Bid/3[int,int,java.util.concurrent.CyclicBarrier]",barrier,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\bariers\Bid.java,onlyTests.threads.bariers.Bid,"Bid/3[int,int,java.util.concurrent.CyclicBarrier]",price,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\bariers\Bid.java,onlyTests.threads.bariers.Bid,"Bid/3[int,int,java.util.concurrent.CyclicBarrier]",id,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_8\task_B_4\Entity\Tomato.java,chapter_8.task_B_4.Entity.Tomato,"Tomato/2[int,boolean]",massa,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_8\task_B_4\Entity\Tomato.java,chapter_8.task_B_4.Entity.Tomato,"Tomato/2[int,boolean]",ripe,1
