file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\patrones-master\06_Prototype\src\main\java\com\sidlors\patterns\prototype\Persona.java,com.sidlors.patterns.prototype.Persona,class,0,1,1,0,3,1,0,0,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,1,0,0,0,0,6,1,0
C:\patrones-master\03_Factory\src\main\java\com\sidlors\objects\OracleConexion.java,com.sidlors.objects.OracleConexion,class,1,2,1,1,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
C:\patrones-master\05_AbstractFactory\src\com\sidlors\abstracfactory\SqlServerConexion.java,com.sidlors.abstracfactory.SqlServerConexion,class,1,2,1,1,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\subject\ISujeto.java,mx.com.sidlors.patrones.subject.ISujeto,interface,1,2,1,1,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\HeredaAbstracta.java,com.sidlors.patterns.polimorfismo.HeredaAbstracta,class,2,3,1,2,4,2,0,4,6,0.0,0.0,0.0,4,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,2,1,1,0,0,0,0,11,1,0
C:\patrones-master\14_Cadena\src\main\java\com\sidlors\patterns\chain\FrontEnd.java,com.sidlors.patterns.chain.FrontEnd,class,1,2,1,1,3,1,0,2,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0,15,0,0,1,0,0,1,1,2,0,2,1,0,0,0,19,1,0
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\abstracta\ClaseAbstracta.java,com.sidlors.patterns.polimorfismo.abstracta.ClaseAbstracta,class,2,4,2,2,2,1,1,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,1,0,0,2,1,1,1,0,0,1,0,0,8,0,0,0,0,0,1,0,1,1,2,0,0,0,0,7,1025,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,class,5,7,2,5,8,1,0,10,0,0.6838235,0.96428573,1.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,0,103,0,0,0,0,0,62,19,46,0,46,0,0,0,0,56,1,0
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\Forma.java,com.sidlors.patterns.polimorfismo.Forma,class,0,0,0,0,4,1,0,1,4,0.5,0.16666667,0.16666667,4,0,0,0,4,0,4,2,0,0,2,0,0,0,2,0,0,0,0,14,0,0,0,0,0,2,0,3,1,3,0,0,0,0,12,1025,0
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\abstracta\Forma.java,com.sidlors.patterns.polimorfismo.abstracta.Forma,class,2,8,6,2,4,1,1,2,4,0.5833333,0.16666667,0.16666667,4,0,2,0,2,0,4,2,0,0,3,1,0,1,2,0,1,0,0,15,0,0,0,0,0,2,0,4,1,4,0,0,0,0,14,1025,1
C:\patrones-master\07.1_Proxy\src\main\java\mx\sidlors\pattern\proxy\ThirdPartyYoutubeClass.java,mx.sidlors.pattern.proxy.ThirdPartyYoutubeClass,class,3,6,3,3,9,1,0,10,21,0.0,0.0,0.0,7,0,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,48,5,1,0,1,3,28,5,4,9,4,2,0,0,0,32,1,0
