file,class,method,variable,usage
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\subject\ISujeto.java,mx.com.sidlors.patrones.subject.ISujeto,registrarObs/1[mx.com.sidlors.patrones.observer.IObservador],o,0
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\subject\ISujeto.java,mx.com.sidlors.patrones.subject.ISujeto,retirarObs/1[mx.com.sidlors.patrones.observer.IObservador],o,0
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\HeredaAbstracta.java,com.sidlors.patterns.polimorfismo.HeredaAbstracta,main/1[java.lang.String[]],args,0
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\HeredaAbstracta.java,com.sidlors.patterns.polimorfismo.HeredaAbstracta,main/1[java.lang.String[]],ha,0
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\HeredaAbstracta.java,com.sidlors.patterns.polimorfismo.HeredaAbstracta,darNombre/1[java.lang.String],nombre,2
C:\patrones-master\14_Cadena\src\main\java\com\sidlors\patterns\chain\FrontEnd.java,com.sidlors.patterns.chain.FrontEnd,getAyuda/1[int],tipo,2
C:\patrones-master\14_Cadena\src\main\java\com\sidlors\patterns\chain\FrontEnd.java,com.sidlors.patterns.chain.FrontEnd,FrontEnd/1[com.sidlors.patterns.chain.InterfaceAyuda],s,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProPruebas/0,entregable,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProPruebas/0,subProyecto,4
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProPruebas/0,tarea1,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProPruebas/0,tarea2,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProDesarrollo/0,entregable,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProDesarrollo/0,subProyecto,4
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProDesarrollo/0,subTarea23,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProDesarrollo/0,tarea1,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProDesarrollo/0,subTarea22,1
C:\patrones-master\00_Compuesto\src\main\java\com\sidlors\patterns\composition\ProgramarProyecto.java,com.sidlors.patterns.composition.ProgramarProyecto,creaSubProDesarrollo/0,tarea2,4
